,date,variable,generation_twh
China,01/10/2016,Bioenergy,5.14
China,01/10/2016,Clean,142.46
China,01/10/2016,Coal,337.09
China,01/10/2016,Fossil,352.37
China,01/10/2016,Gas,13.55
China,01/10/2016,Hydro,92.27
China,01/10/2016,Nuclear,17.47
China,01/10/2016,Other Fossil,1.73
China,01/10/2016,Solar,5.3
China,01/10/2016,Wind,22.28
China,01/10/2016,Wind and solar,27.58
China,01/11/2016,Bioenergy,5.49
China,01/11/2016,Clean,135.11
China,01/11/2016,Coal,359.78
China,01/11/2016,Fossil,376.09
China,01/11/2016,Gas,14.46
China,01/11/2016,Hydro,80.31
China,01/11/2016,Nuclear,19.48
China,01/11/2016,Other Fossil,1.85
China,01/11/2016,Solar,5.22
China,01/11/2016,Wind,24.61
China,01/11/2016,Wind and solar,29.83
China,01/12/2016,Bioenergy,6.13
China,01/12/2016,Clean,120.56
China,01/12/2016,Coal,401.99
China,01/12/2016,Fossil,420.21
China,01/12/2016,Gas,16.16
China,01/12/2016,Hydro,64.55
China,01/12/2016,Nuclear,21.36
China,01/12/2016,Other Fossil,2.06
China,01/12/2016,Solar,5.01
China,01/12/2016,Wind,23.51
China,01/12/2016,Wind and solar,28.52
China,01/01/2017,Bioenergy,6.03
China,01/01/2017,Clean,112.68
China,01/01/2017,Coal,346.56
China,01/01/2017,Fossil,362.21
China,01/01/2017,Gas,13.89
China,01/01/2017,Hydro,60.2
China,01/01/2017,Nuclear,16.68
China,01/01/2017,Other Fossil,1.76
China,01/01/2017,Solar,6.79
China,01/01/2017,Wind,22.98
China,01/01/2017,Wind and solar,29.77
China,01/02/2017,Bioenergy,6.03
China,01/02/2017,Clean,112.85
China,01/02/2017,Coal,346.56
China,01/02/2017,Fossil,362.21
China,01/02/2017,Gas,13.89
China,01/02/2017,Hydro,60.2
China,01/02/2017,Nuclear,16.68
China,01/02/2017,Other Fossil,1.76
China,01/02/2017,Solar,6.96
China,01/02/2017,Wind,22.98
China,01/02/2017,Wind and solar,29.94
China,01/03/2017,Bioenergy,6.48
China,01/03/2017,Clean,132.69
China,01/03/2017,Coal,372.86
China,01/03/2017,Fossil,389.71
China,01/03/2017,Gas,14.95
China,01/03/2017,Hydro,70.19
China,01/03/2017,Nuclear,21.4
China,01/03/2017,Other Fossil,1.9
China,01/03/2017,Solar,8.99
China,01/03/2017,Wind,25.63
